Countries,Average Temperature,Latitude,Longtitude
Algeria,24,28.033886,1.659626
Angola,22,-11.202692,17.873887
Argentina,15,-38.416097,-63.616672
Australia,22,-25.274398,133.775136
Austria,7,47.516231,14.550072
Belgium,10,50.503887,4.469936
Bolivia,21,-16.290154,-63.588653
Bosnia and Herzegovina,9.85,43.915886,17.679076
Brazil,25,-14.235004,-51.92528
Bulgaria,11,42.733883,25.48583
Cameroon,25,7.369722,12.354722
Canada,-3,56.130366,-106.346771
Chile,9,-35.675147,-71.542969
China PR,6.95,35.86166,104.195397
Colombia,25,4.570868,-74.297333
Costa Rica,26,9.748917,-83.753428
Croatia,12,45.1,15.2
Cuba,26,21.521757,-77.781167
Czech Republic,8,49.817492,15.472962
Denmark,-16,56.26392,9.501785
Dutch East Indies,23.65,20.593684,78.96288
Ecuador,22,-1.831239,-78.183406
Egypt,23,26.820553,30.802498
El Salvador,25,13.794185,-88.89653
England,8.45,55.378051,-3.435973
France,13,46.227638,2.213749
Germany,9,51.165691,10.451526
Ghana,27,7.946527,-1.023194
Greece,15,39.074208,21.824312
Haiti,27,18.971187,-72.285215
Honduras,25,15.199999,-86.241905
Hungary,11,47.162494,19.503304
Iran,19,32.427908,53.688046
Iraq,23,33.223191,43.679291
Israel,20,31.046051,34.851612
Italy,13,41.87194,12.56738
Ivory Coast,26.35,7.539989,-5.54708
Jamaica,26,18.109581,-77.297508
Japan,12,36.204824,138.252924
Korea Republic,11.5,35.907757,127.766922
Kuwait,26,29.31166,47.481766
Mexico,21,23.634501,-102.552784
Morocco,18,31.791702,-7.09262
Netherlands,10,52.132633,5.291266
New Zealand,10,-40.900557,174.885971
Nigeria,27,9.081999,8.675277
Northern Ireland,9.3,53.41291,-8.24389
Norway,1,60.472024,8.468946
Paraguay,23,-23.442503,-58.443832
Peru,20,-9.189967,-75.015152
Poland,8,51.919438,19.145136
Portugal,15,39.399872,-8.224454
Republic of Ireland,9.3,53.41291,-8.24389
Romania,10,45.943161,24.96676
Russia,-3,61.52401,105.318756
Saudi Arabia,26,23.885942,45.079162
Scotland,8.45,53.41291,-8.24389
Senegal,28,14.497401,-14.452362
Serbia,11,44.016521,21.005859
Slovakia,8,48.669026,19.699024
Slovenia,10,46.151241,14.995463
South Africa,17,-30.559482,22.937506
Spain,14,40.463667,-3.74922
Sweden,3,60.128161,18.643501
Switzerland,8,46.818188,8.227512
Togo,27,8.619543,0.824782
Trinidad and Tobago,25.75,10.691803,-61.222503
Tunisia,21,33.886917,9.537499
Turkey,12,38.963745,35.243322
Ukraine,9,48.379433,31.16558
United Arab Emirates,29,23.424076,53.847818
Uruguay,17,-32.522779,-55.765835
USA,8.55,37.09024,-95.712891
Wales,8.45,55.378051,-3.435973
Yugoslavia,8.9,44.016521,21.005859
Zaire,21.4,-1.940278,29.873888
